,review_id,user_id,business_id,text,stars
55,VO0RXTggEu4oe-2sLYcrhg,2lAdznWXb-4THMVpPEGRKQ,6dZhYo_679osV1nNN7DREw,"I am very happy with the services provided at Poochie's Place by Amy. I had met with Amy and talked to her before bringing my dogs in for services. I got a really good feel from her. I can't explain exactly what it was, just something about her that put me at ease and made me feel comfortable bringing my maltipoo puppies in to get groomed by her. The Northern Liberties area has many options to choose from in terms of dog grooming, I have tried a few of the other places but now my girls only go to Amy. I am beyond happy with her services, when I get my girls back from a salon appointment they always look and smell great. Plus I love the little bows in the hair. I think she does a great job and best of all is very reasonably priced compared to the other options in the area. 
Best price + best service * friendly attitude= happy repeat customers.",5.0
30,Ltk1walEUkybfCskdzt3ZQ,PemZAiaD-0dM68tmxqtcjQ,fK_Fd8-KmGV-ASIIjJwfdQ,"Love this truck and the delicious desserts they are putting out. The macaroons are really worth the trip. The flavors are really creative and spot on. I've had macs in Paris at laduree and it may just be the American in me but I like these better for the taste, size and value. The cookies have the texture and flavor that makes macs delicious and unique and the fillings are decadent and tasty as they should be. The milk and honey was one of my favorites as many others have also said.",5.0
66,_pF7nxhYHz82z2nUJQMsLA,pBQ4bvizWVZsVz3Ells6WQ,SAPqcWoEOPQG25FzuY9Rjw,"Great experience!!!! We rented the gym and club room for our son's birthday party. The staff was incredible!! They were extremely helpful, courtesy, and knowledgeable. The design of the building is modern and fresh, and the facility itself is clean and well maintained. The rental fees are reasonable, they delivered on all fronts. I would highly recommend Sevier Park Community Center to anyone looking for a space to hold an event from a birthday party to a family reunion! 

FYI - They also offer numerous exercise classes, as well as workout equipment, in addition to a playground, paved walking paths, and outdoor basketball courts. I have not personally taken advantage of these aspects yet, but plan to in the near future.",5.0
7,3sB2rGM7xm7kom56XP-YHA,YohE7Jtlxkr13OUWVH4CzQ,OlC4yAd4pqSD8xWSZFacLw,Excellent quality of work for a good price. The owner and staff are very diligent and anxious to get your job done. I had three stumps and one palm tree removed.  The next best price was $75 more. He arrived early to look at my property and also arrived early the day the work was set to be completed. I will certainly use these guys again.,5.0
57,i9QwobJE6V76YbnRSRsmww,kP602Qs0k-a24J6Ujs-GIw,pWT3WAUvww4iqF-v2htBXA,"Great neighborhood restaurant on the East Side of town. The service is very friendly and able to point you in the right direction. Happy Hour has some great deals ($5 drinks and apps). I recommend the steak and spaghetti, its definitely restaurant quality spaghetti, I have never had spaghetti was such flavor. The steak was great, cooked to perfection and tasted amazing. My girlfriend and I were out of there for $40, not bad for a classy restaurant with great food. 5 stars for location, ambience, food, service and happy hour!",5.0
59,AEajAZBFWVLyPhfCmnkPqA,zS7VbHwePkVzcAEMDqLvaQ,NXX5Ok24E52FjAv8_EaFtQ,"I had to replace a hard drive in an iMac and called Springboard. They quoted me an approximate price and a short time later I was in the showroom. The staff was very friendly and offered a competitive price based on what I needed, not a sales pitch for unnecessary upgrades. After a few days I received a call that the fix was done. 

The computer works like new and I will return if any other problems arise with my Apple products.",5.0
111,0QjxgMKczSMyYrOwsdDHvg,zjY8k7lKFKq2VHQ1HRivdA,9o24I4GqjDBQQa0vK68cXQ,"I underwent bilateral knee replacements at Rothmann's Jefferson Hospital on November 28. While it is still fresh in my mind I want to describe my experience. First of all my surgeon was Dr. William Hozack a superb surgeon who did my husband's hip replacement 14 years ago. Dr. Hozack' commitment to my care was evident at every turn, from a reassuring pre-op visit from him and his entire handpicked team to a private room post op which was a blessing. When one is not feeling their best, privacy is a much valued commodity. I stand,in sheer awe, at the degree of professionalism, kindness and patience displayed by every member of the recovery room nursing staff. Thank you, Elise and Christa. Special thanks to my nurses, especially, Lance, Monica, and Bernadette who made my post op stay at Jefferson bearable. There is no question that nursing is a vocation when confronted with the level of care that I received during my stay at Jefferson hospital. Now 5 days postoperative and in rehab for awhile
I feel I have crossed the first threshold in what I expect to be an exciting and satisfying journey. Thank you for my new knees!",5.0
88,hzpe-zJFImG_aLaoU5ERzw,XT8U_rCZ4c15BoFkDjkOIA,i1A9_CvPb0SZ_5nTddCEgA,"This place makes some of the best hogies I have had outside of the city. I love that they use Sarcone's rolls. I ordered the Veggie Deluxe for take out. The roll was perfectly crusty and seeded. The eggplant, broccoli rabe, and peppers were seasoned and sauteed to perfection. The slices of sharp provelone added that extra bite that the sandwich needed. I could eat one of these a week and never get tired of it. The prices are high but well worth it! I usually get two meals out of one hoagie so that is how I justify spending over $10 for one of these delicious creations.",5.0
4,fENu7okH1DfhhyIBOlrx9Q,wCF7KXtL8FEhY-aNbcrnbQ,aAXo_vX8YG10kytAM9SC9Q,"Ok... the ice creams just straight kicks ass.   I would put it on the places to visit in Florida.  The RUM HAVEN is on point (adults only).  Plenty of other choices... the sweet potatoe casserole is legit too. 

The one thing... place is on a nice side of town. But it's around the back... don't look for it on the front row.  They need to put up rotating sky spotlights and do fireworks every hour. Maybe just have the police divert traffic through their parking lot.",5.0
8,biOz1Mxp9k_ZwAM4uZ8Xgw,Rfmm3r2JvUqEVDpCdwBzvg,w9grvGu-5bHNucOeReHzfA,"Last night was my third time going to Urban Grub. I've been pleased every time, but last night was the first time I've been inclined to share my experience. I went there with my wife and our waiter was nice: helpful but not overbearing.

However, shortly before or after ordering our food, another man came around to the nearby tables and introduced himself in a manner suggesting he was the manager (he said his name but I have forgotten it). I asked if he was the owner and he said he was just the general manager/janitor (paraphrasing him), and even shook hands with me. He was very pleasant to talk to and after we talked about the food a bit he bragged about the tastiness of his wife's - the pasty chef's - vanilla bean donuts (how could I not make a mental note of that?).

We ordered the Lobster BLT Flatbread (which is basically lobster alfredo flatbread, very tasty) and the double-cut pork chop. This was the first time I've had the lobster BLT, but the third time I've had the pork chop. It is the best pork chop I've ever eaten, hands down. They have an excellent cooking method for it.

We also had the donuts for dessert of course, but they were somewhat too sweet for me and I think of myself as a sweet tooth! The ice cream it comes with was great though. I still ate it all; don't want to think about the calories. :-(

At the end the manager came around again and asked how the food was. We still had about 1/4 of the pork chop left to take home: we shared the flatbread and the entree and still couldn't eat it all, that's how big the cut is. He took our plate himself to put in a box. AFAIK, that's the only time I've ever seen a manager bus the table, and that's why I felt compelled to leave this review.",5.0
9,NtjfX17Bg6pJlr22_VGtaA,kLA_RfeEIUYWtTXTwzdaMA,43oYrOx0vl6OL5RAbkZFow,"Called regarding a broken garage door spring.  Tech came out next day, was very friendly, and quickly completed the repair.  Total repair took under 30 minutes.  Very pleased!",5.0
11,eVluRcwdgqj3aNcL-XKF2Q,sgMQq28qkAtNmdckf8a7iA,0Ts32VVd5avPdjOSST5HXQ,"I appreciate a massage therapist that not only listens to your wants for the session, but listens to what is going on with your body (how it is responding to the treatment). Ranae does both. She is completely professional and is interested in helping you achieve your relaxation and treatment goals (not her agenda). I feel very comfortable with her and would recommend her to anyone!",5.0
13,7QOiH5QL_GHTSJKF0m9hUg,XWF_QYq8BgpFvZ8tgpFCSw,95r3jAJRn10e9aB5I_NlPg,"Lunch date with my beautiful mom! Found off the beatin path going to the Botanical Gardens, and it was amazing! Slow considering it was a mid Monday lunch. Beautiful decor/atmosphere. Seat yourself at one of the edgy marble table tops with non matched yet all unique chairs. Appreciated the large windows throughout since there was not a cloud in the sky, but saw the cozy set up in the corner with an inviting custom antique fireplace, and actually can't wait for a snowy night to come back and enjoy a glass of wine when the time arrives. 

Food: speechless.. I'm a lover of French dips, and this hands down was the best I've ever had. Mind you cheese does not come with it, and I'm fine with that. It is an extra charge. The roast beef was sliced to perfection and layered just right. Au ju was the perfect temp and flavor. Sandwiches come with potato salad but can be substituted out for any salad of your choice, soup, and I believe other sides. I stopped listening when I heard sub a salad. I've forgotten the specific name of the salad, I believe it's the house. It was filled with fresh artichokes, onion hearts, mixed greens, balsamic vinaigrette etc etc.. So perfect for lunch, and left me feeling refreshed. 

Beverages: After going to the gardens we decided to end the afternoon with a cocktail and returned to Sasha's. My mom ordered a simple vodka/club soda. I orders a Long Island ice tea. Once again I'm going to say that I'm a huge fan of long islands. Hands down the best I've had! The bartender brought out fresh lemons and squeezed fresh juice into it, he poured all the liquor precisely into the glass..., and then put his own mix into it that I feel ashamed if I share and really highly recommended going here as soon as possible. Prices for everything where by far underpriced or right on!",5.0
18,udStZfc8RrXbhK5QHQlGVQ,CfHKItb0j43Cm6e6L6hhcw,Z6HwUhvS28GhjbR0_LGOnw,"We came here for opening day, and it was mobbed. We were able to place or order rather quickly, and the food and drink come out separately, grill and chill... For the amount of traffic, it was not bad, and we are back again!",5.0
24,kKOu7QqfRgQ47gCEP21Rcg,b8jUWKSbut0d028-3VCs0w,oJrJjrk4JBCJz5Y-VM3BDA,"Had the $39 Sunday special. Wonderful.
Salad was scrumptious.
Steak with Prawns was perfect.
Desert yummy.
What more can s man want?",5.0
28,bdASoz7sfpyDkqnpmBOQGQ,6prhnOfBrcEXdKWPJjN_mw,H26zRyQkXXYzUZUOtppFcA,One of my favorite places to eat in Tampa. The trio dip is a must!! The tuna taco is delicious and they have great margaritas. Like the size of your head. Great place to go with friends before going out for the night!,5.0
41,fpWE1GSQ8qUkPPE9inSYqg,elf2M2IVBd0M4gHQ8DkPAA,3WU1ZobAqXQ07xYoKE2Vyg,"Good, cheap breakfast. Eggs, bacon, toast and hashbrowns only $4.50. On top of that this place was so clean. Staff is friendly and attentive. We will be back.",5.0
46,NFzTygizI3nNZA1NpgEyIA,pFPNj3QidhWUEc-awdnBtg,AMi1h-goNueHf_Lvx4Cu4g,"*You can try anything, including seafood as the fish mongers will grill up whatever you want as a sample!  
*You can have the seafood or meat department marinade and/or grill up or saute your food at no additional cost.
*Customer service is tops - one time the seafood dept grilled my salmon too well done and the next time I went in I told them and they gave me a new one for free -- we opted to grill it ourselves, but once in awhile on a busy weeknight I'll have them do it.
*Prices are not so terrible if you stick to sale prices and shop wisely.  Don't go in to browse and let your appetite or your wandering eyes be sucked in to the beauty of the store and all its amazing offerings.
*When we have a birthday and need a cake, their cakes are VERY reasonably priced and beautiful and pretty good too.
*The staff is all so friendly and pleasant.
*Jennifer in the supplements section is a wealth of helpful information!
*It's the best place to buy bulk raw nuts and grains.
*You can find local organic veggies which are priced the same or cheaper than the Farmer's Market",5.0
50,bdvvYTFMWUF2J95HXu-gVw,vYpbN-8ncipCGVanxftuOw,KGUMFY9_fO4C5hGC9p5JqQ,"Kinder's catered our wedding reception at our home.  The food and service were spectacular.  It was raining but the servers were very accommodating, and Kinder's was flexible with changes a few days before.  The ribs and Mac and cheese impressed everyone.",5.0
51,68ocQt_Cf_-Jh4K0cbQB8w,bwuNDHer1lHmL7Vq8gOvTA,aeIWVa6G54UUo6yloJkyJg,If i could eat here for breakfast lunch and dinner i would.  Best hummus best falafle best lentle soup you will ever have. Highly recommended.,5.0
52,mFGelLRJK9IPxuF9PcTBFw,U2ya6v_X-klGYtgjzjlG2w,e1WJ1qcgF2TBkoYzopeTgQ,"This restaurant!!! The best in New Orleans!! The best hole in the wall!! The food is fantastico!!!i want to stay here for s week and try everything!!! Sawyer, our waiter was great! Intelligent, well versed and so knowledgable on the entrees !!",5.0
56,UoR_fivWrUbBHeXTm0gwQA,d2ZjzxupzbgfgQpaKJ3Pfg,3WU1ZobAqXQ07xYoKE2Vyg,"Friendly staff, great Cajun food near the quarter without spending a lot.  We were there 4 times in 4 days!  They will show you how to eat the crawfish.",5.0
70,VnDvdUYLRlQujnxrXmvs3A,9pbnVZ7BE3SJFDN1Vf1E6g,LzqK938BFuT1qs4CEuQVVw,Amazing staff. Dr Brown was spectacular and I will make them my new vet!! Great service!! Very kind and compassionate!!,5.0
73,_k1Qmwk9BY5bm4JFovAwYA,ABaDXhzUa0UFFB9YSrbGhQ,KVT4RFTRVjSS3zuZ1bmiAA,"I'm not that other Mike M btw. 

I loved this place. A friend told me about this place and I'm happy he did.

The combo plate includes soup, food and a drink for under $9. The food was really fresh and warm and the people were super friendly.

It's not a formal sit down, more fast food feel, but well worth a try.",5.0
74,7s3jv9RQlMVUR51xQ4RlLw,cdEylSXoaBzFsv9XFZuGGg,rWNNMz9ekOLAO_7X4MX3kQ,"After the bike shop closest to my house threw away my order for a new bike, I went looking elsewhere. I'm so glad I did! I enjoyed every bit of my experience with Bicycle Bob's. Very patient, knowledgeable help from Bob and Rob who helped me find the right bike and helmet.",5.0
78,UjTTR1Elc_WItjTLulF0sg,NrB6C55E5Ial-1PT4BosHw,65_MIvrauhGs_jssN4-uUQ,Great Pho and Ramen!  Also the bahn mi was the best I ever had. We will be back soon.,5.0
83,_qyhWvGhnqx254q5x4c4zQ,y-0AdZ3raOYQBPJRrxuwog,z8MZGKqg79ih1www6azXyA,"This was the first night of our vacation, and I picked this place based off of fellow Yelper reviews who did not lead me astray.  Everything that makes a restaurant a place you want to visit again and again from service, to food, to ambience was there.  We were running late due to construction, and I called the hostess who reassured me it was not a problem and was welcoming and reassuring.  When we arrived, I was impressed with the beautiful woods, warm light, and overwhelming smells of delicious foods from the kitchen. 

Walking to our table, we all kept saying, ""oh my gosh it smells good!""  Our waiter, Allasandra (Alex) was a total joy, knowledgable about the menu, and happy to share with us his recommendations.  We started with the Antipasto Meraviglia.  The cheeses were fabulous!  I heard the olives were also great--I didn't get one.  

From there we went to the arugula salad with a delicious lemon/olive oil dressing and fabulous parmesan cheese.  The next course is where the winners (which we all were) and the exceptional dishes blossomed.  The special was a lasagne made with meatballs. The red sauce was extraordinary.  The portion was huge, but my youngest never came up for breath before he was done.  My oldest had the Ravioli Villa Bellini, a delicious lobster ravioli with a light cream sauce.  I wanted to lick the sauce off the plate.  My husband had the Tortellini Dunedin, filled with veal and beef in a mushroom sauce.  Pretty off the hook.  But the star of the night was the Saccottini Ciro.  Maybe one of the top five most delicious entrees I've ever had. Everyone tried it--to the point of me wielding my knife to protect my dinner--and declared it spectacular.  It was summed up best by my youngest who said, ""It's like Jesus made this for us because he wants us to know he loves us.""   If you go here, you must have this. Don't experience a dinner anywhere near Tampa without driving here to have this. 

We ended with the chocolate soufflé and ice cream.  Very wonderful evening made even more special by our fabulous waiter, beautiful setting and unique food.  Go here!  You won't be sorry other than the button you move on your pants because it's all so good you cannot stop!",5.0
84,xbK381y76ITBhPXL5SxFrA,ELy8-cKquNR6YzsUCxfarw,24f-qQokEN2UvBNHMWLm3A,The history and staff of this place is remarkable I highly recommend anyone who visits New Orleans to come here and definitely try the alligator soup its amazing all their staff is super friendly and super knowledgeable!!,5.0
89,YuUIQBR0bEBLhqE2wYfu7A,OTLy4HO2oiFW8mQ9jrKIUQ,saeaXJ5DJ5NJyRJe7y1IJg,I ordered the seafood salad and it was amazing. I tasted my friends potato soup n had a hard time giving it back to her. Will visit again soon!,5.0
90,9QKzpTWWefEFWETV0UMtmQ,3rmm6p1pCDtXsShXHbw5ew,5SbXk54zWe22jg95R-8Fjw,"Best food and craft spirit spot in town. Seriously, their food never disappoints, as there's something for just about every kind of taste bud - and you can tell it's made with love!",5.0
93,Vd60mFaf5pNCvr8C9Ibqcw,y9X_HyYt-WXWaAfwbIRlRA,1_8sejgc34ay0MGAQvjLMg,"I love ""I love kickboxing Nashville."" The staff is awesome and very motivating to get your best possible results. I have noticed definition in my arms, legs, and a stronger core. I can't say enough about how much I love this place.",5.0
97,d5Pjo3ZOdjUMyWsgcT1Siw,qy6xFpszu6-EzAALwVy3pA,q2b5ZXmqxiD7lcY2PhFVSg,"The owner is very hospitable, the atmosphere is warm and welcoming, the selection is extensive and the prices are very reasonable! Love the pug and the Pinots from Oregon",5.0
99,2KoM2jO3JETsuDW5DuexeQ,oaUBYfFdIuoDwCYBgElTKA,r4bi-XadaNC4CTs_QbPpyA,"My wife and I really loved this place. It's a smaller place without a lot of seating, but you get great service, great food with huge portions, and a nice wine menu. Most prices fall in the $15-$25 range, but you will get a lot of food for that price. It's definitely my favorite Italian place in the Carrollwood area, at least of those we have tried so far.",5.0
100,Vhq01QfH08PMZm4-uVYLTw,qkBia2d2CMXkzIm5dogCHQ,37HBpNmT60ZTdnNeweWdzg,"What an amazing experience!  I was attending a convention at the Marriott up the street and before arriving I had searched restaurant.com for some local eats and then double checked places against reviews here of course!  I walked in and made sure to ask if they were accepting the certificates on that particular night.  She welcomed us in and seated us near the patio.  It was a bit too hot for my taste to sit outside, but we were still able to enjoy a gorgeous view!

I ordered a wedge salad to start and they brought it out in record time along with a couple of different breads for us to sample.  Our waitress was extremely friendly and knowledgable.  She explained the breads and before we ordered we had a couple of questions about the 'burnt edges' brisket.  She was more than happy to answer our questions and was very informative.

My mother ordered the one meat plate with brisket and mac and cheese as her side.  I ordered the one meat plate with chicken and a side of fruit.

The chicken was properly cooked.  I've been so shocked lately at the amount of undercooked chicken I have received.  The smoky flavor was absolutely delicious.  The side of fruit was large and had a nice assortment.  I was very pleased!

My mother seemed to very much enjoy the brisket.  As someone else stated...a teeny bit dry, but it gets you to try those tasty sauces on the table!  The mac and cheese was a generous portion and boy was it cheesy!  Delicious.

If I'm in town again I will hit this place coupon or not!",5.0
102,vkrpNb_1W-JYMV9dDZWK0w,8dSX-iNpgSeYnXLGli33jg,y4ikdNkpUAU19Za9WInkDw,"absolutely great! i went with a friend for pedicures and we both agreed it was one of the best we had ever received. it is a little bit pricey, but well worth it. i think they need to get an option for a ""paint and polish"" instead of just a pedicure in case people are in a rush. the staff is great and super friendly. an excellent nail salon and i will most definitely be back!",5.0
104,-FBXV2dtECzQFp37mkrgwQ,TgmjZTFFnrzhMOIZm1N61g,6kP_X6j0Pu7XDVFNWKsi7Q,"Everything we had here for dinner last night was amazing. The zatar bread appetizer was amazing, and both our entrees were super quick, super tasty and very filling. The owner who waited on us was also super sweet and kind to us. I recommend this place wholeheartedly!",5.0
106,KbeV582bvmMZJ3oFNzMrWA,BbYwOe2CAKx5XkdS4t-5lw,ogXegpVS-fwnaF78pzDUcQ,"Beyond amazing. Not only was the food incredibly delicious, but the staff was FANTASTIC. They went above and beyond any restaurant staff I've ever encountered. Jose was our waiter, and an awesome one at that, we simply mentioned that we couldn't eat dairy and his manager, him, and the rest of the staff made sure that everything in our meal was safe to eat. 10/10 would recommend. If you're not eating here, you're missing out.",5.0
108,6JN-aNZYbH2UlR0720DOuw,pDoxOAJEFX1aGBPHHRLumQ,n_fUROdhfmLwd_mpBi55ew,"Still hands-down the best muffaletta, anywhere. Worth the wait in line. And, they even travel well -- we stop in on our way home to Atlanta, put some on ice, and mmmmm dinner!",5.0
109,CueRZ5q-BzBx0gzlqp8ypg,Tw8VWMPfZHKLH1kD5ar95Q,ssk6Q7dOtOBP-8ovssi1jw,This is honestly probably the best chinese food i've ever had that's not a chain restaurant. I'm from Wisconsin and came to this place while i was on vacation. I had the general tso lunch special with the egg drop soup. Everything was delicious. i wanted to take this restaurant home with me!,5.0
110,Jblq4iNm5jB-8k1qFCCQAQ,00Bx2ANeLfbMfX5mBmLDXQ,Wr_7-RqZrXJTRCgvHKJOIQ,"The pasta felour with blackened chicken is fantastic! I ordered online and the pasta choice defaulted to spaghetti. However, once I got there to pick up my food, they recommended I choose penne next time to balance with such a cheesy sauce. I will definitely be back for both the food and the friendly, informative service!",5.0
124,JcuBqTYLb_jJDiOcjyhdZA,AZ6_DdWKH22jauCI6IlnDQ,SaJHvbrvy-ndxLf85mAVXA,"Cute and quirky little breakfast joint situated in a quiet, funky, hippie-ish neighborhood.  Crepes are their specialty: they have sweet and savory options, or you can make your own for $5 plus $1 for each ingredient.  I ordered one with spinach, tomatoes, Swiss cheese and bacon.  Delicious and filling!  Mixed greens come on the side for $1 extra.  They also serve your standard variety of drinks, coffee, baked goods, etc.  

Seating inside is a little tight but manageable.  Even on a bustling Sunday morning, there seemed to be quick turnover with regard to the tables.  Service behind the counter was very friendly (almost too friendly...but I'm from Boston, so maybe that's just how people are in Philly?)  Anyway, a good experience overall.  Recommended!",4.0
115,1TXbQ0OTJdeK_F7HiBH08g,ozUHEpWDfRn7IKqluK503A,2pMdDOWl14rU4jdAH4oZXw,"Came here for dinner last night. I knew it was going to be really nice inside, but the décor and ambiance exceeded my expectations. We were the first table of the night and had the restaurant to ourselves for a little bit. We used a gift card purchased on Daily Candy, but it would've been worth it either way. 

Everything we ordered was very good. We went with the calamari as an appetizer. It was lightly fried and I really liked the sweet & spicy dressing served with it.. this gave it a nice kick. For dinner, we both ordered the filet and were really happy with what we got. Wild porcini crust for me and smoky ancho for him. For sides, we went with the mashed potatoes and smoky collard greens. Pretty standard but still good.",4.0
85,4W6uuwGYiDM2PlctrISiQw,x5_wSiB2y5lXCFp8WlGf1A,o1DuWXCV_kg_mSqNOxUdew,"So... from what I hear, and based on some quick Yelp-research, I realized that this up-and-coming Ijji restaurant is trying something new with Reno. They have their customers cooking their own meat - thus creating their own, unique experience - at a reasonably priced location in Northwest Reno.

Some foodies may not realize is that Korean style cuisine is a very simple, hearty, meat-&-veggie type style. There is little spice, including garlic, mustard, red pepper, etc.... and that my lead some to think that the food here is boring/not as good as their other popular resturants located throughout the area. Here, Ijji has turned the heat up on the overall experience in hope to draw in a crowd and make visits more of an experience. 

Experience:

So we arrived for a rather late lunch/early dinner. Something that I highly recommend if you want to to the AYCE style and you roll two meals into one....while rolling yourself out the door at the end of the night. We were seated quickly, however it seems like they only keep half of the restaurant available for lunch, while opening both sides for dinner. 

After we were seated I realized that Ijji has done a great job of ventilating the eating space with fans pulling in the smoke on the table, and numerous intakes/outs for AC. In fact, it was a little chilly in there so ladies.....bring that sweater. 

AYCE for lunch is only $19.99 - which is a pretty good deal for how much meat we ate. We were in protien heaven! One thing that occurred to me after we sat down was that the vegetables surrounding the pit were a little dry to the touch. They either sat at the table waiting for us too long or these side dishes are prepared too early in the kitchen and by the time they arrive to the table they just don't have that ""freshly prepared"" look to them, and are a little dry. (Hence my dropped star)

We decided to just go down the AYCE menu, ordering meats in order. The first few meats were beef, where I highly recommend the first beef option listed. They' re super fast to cook, and great to slap on while chowing down on other food. The next suggestion I have is the chef's chicken. It was very fresh, we happened to cook it perfectly (haha!), and we ended ordering it for a second time. PS: The spicy options aren't TOO spicy...great for people who are so spice intolerant like me!

Speaking of ordering, there was a lot of confusion for us about what was AYCE and what was a la carte only. In this case, we ended up asking the waiter to repeat it to us the first few times because it wasn't clear on the menu. However, I'm assuming they will fix this because it seemed to be really confusing to other guests too. Also, another thing missing from their menu....DESSERT?! I know it's lunch.... but with all the protein and veggies with salty sauces...I really wanted something sweet to end my meal.

Overall, we will be visiting Ijji 4 again for dinner or lunch again. Its just so conveniently placed to everywhere else we shop that this place will be hard to avoid.",4.0
